relevamiento,variable,unidad,unidad_norm,periodo_tipo,fecha_objetivo,horizonte_meses,mediana,promedio,p10,p90,real,error,abs_error,error_rel_pct,dentro_p10_p90,serie_real,agregacion,comparable
2020-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,12,10.95,11.3016855521784,9.81,12.99523326045304,7.000000000000001,-3.9499999999999984,3.9499999999999984,,0.0,DESOCUPACION,dato del mes,True
2021-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,11,11.0,11.62023459016997,10.32,13.41840024503681,7.000000000000001,-3.999999999999999,3.999999999999999,,0.0,DESOCUPACION,dato del mes,True
2021-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,10,11.0,11.52043477254004,10.01,13.49590113639678,7.000000000000001,-3.999999999999999,3.999999999999999,,0.0,DESOCUPACION,dato del mes,True
2021-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,9,11.0,11.02439094496279,9.920000000000002,12.13,7.000000000000001,-3.999999999999999,3.999999999999999,,0.0,DESOCUPACION,dato del mes,True
2021-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,8,11.0,11.11399433903522,10.0,12.4,7.000000000000001,-3.999999999999999,3.999999999999999,,0.0,DESOCUPACION,dato del mes,True
2021-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,7,11.0,11.17621631333731,10.21,12.5,7.000000000000001,-3.999999999999999,3.999999999999999,,0.0,DESOCUPACION,dato del mes,True
2021-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,6,10.65,10.73477303897227,9.91,11.94857821175524,7.000000000000001,-3.6499999999999995,3.6499999999999995,,0.0,DESOCUPACION,dato del mes,True
2021-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,5,10.7,10.6831470407866,9.94,11.3,7.000000000000001,-3.6999999999999984,3.6999999999999984,,0.0,DESOCUPACION,dato del mes,True
2021-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,4,10.5,10.51006297782253,10.0,11.01153607978128,7.000000000000001,-3.499999999999999,3.499999999999999,,0.0,DESOCUPACION,dato del mes,True
2021-09,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,3,10.1,10.07346553661099,9.301278922146077,11.07101253627105,7.000000000000001,-3.0999999999999988,3.0999999999999988,,0.0,DESOCUPACION,dato del mes,True
2021-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,2,10.0,9.918045383990007,9.3,10.31801712650811,7.000000000000001,-2.999999999999999,2.999999999999999,,0.0,DESOCUPACION,dato del mes,True
2021-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2021-12-31,1,9.8,9.858332538995636,9.13,10.44154585507652,7.000000000000001,-2.8,2.8,,0.0,DESOCUPACION,dato del mes,True
2020-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,24,10.2,10.54562483971107,8.75,12.61,6.281803915884609,-3.91819608411539,3.91819608411539,,0.0,DESOCUPACION,dato del mes,True
2021-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,23,10.55,11.00200738712786,9.62,12.84,6.281803915884609,-4.268196084115392,4.268196084115392,,0.0,DESOCUPACION,dato del mes,True
2021-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,22,10.5,10.88013238712786,9.24,12.84,6.281803915884609,-4.218196084115391,4.218196084115391,,0.0,DESOCUPACION,dato del mes,True
2021-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,21,10.45,10.41960010009601,9.05,12.14,6.281803915884609,-4.16819608411539,4.16819608411539,,0.0,DESOCUPACION,dato del mes,True
2021-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,20,10.5,10.61698108062865,9.26,12.2,6.281803915884609,-4.218196084115391,4.218196084115391,,0.0,DESOCUPACION,dato del mes,True
2021-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,19,10.5,10.61761736544961,9.51,12.16,6.281803915884609,-4.218196084115391,4.218196084115391,,0.0,DESOCUPACION,dato del mes,True
2021-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,18,10.15,10.20687944728773,9.50131242132944,10.79,6.281803915884609,-3.8681960841153913,3.8681960841153913,,0.0,DESOCUPACION,dato del mes,True
2021-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,17,10.2,10.25665617438559,9.33,11.0,6.281803915884609,-3.91819608411539,3.91819608411539,,0.0,DESOCUPACION,dato del mes,True
2021-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,16,10.05,10.10998357188548,9.36,10.71,6.281803915884609,-3.7681960841153916,3.7681960841153916,,0.0,DESOCUPACION,dato del mes,True
2021-09,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,15,9.9,9.902430310771855,9.105048161227216,10.65308212512658,6.281803915884609,-3.6181960841153913,3.6181960841153913,,0.0,DESOCUPACION,dato del mes,True
2021-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,14,9.8,9.832367329205644,9.088014194820182,10.72710367122213,6.281803915884609,-3.5181960841153916,3.5181960841153916,,0.0,DESOCUPACION,dato del mes,True
2021-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,13,9.7,9.791681753463893,8.981173573393997,10.65,6.281803915884609,-3.41819608411539,3.41819608411539,,0.0,DESOCUPACION,dato del mes,True
2021-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,12,8.7,8.804820312656451,7.99,9.81,6.281803915884609,-2.41819608411539,2.41819608411539,,0.0,DESOCUPACION,dato del mes,True
2022-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,11,8.6,8.59540494122,7.81755326262172,9.327164179104477,6.281803915884609,-2.3181960841153906,2.3181960841153906,,0.0,DESOCUPACION,dato del mes,True
2022-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,10,8.6,8.658383760011688,7.84757701064621,9.452665245202558,6.281803915884609,-2.3181960841153906,2.3181960841153906,,0.0,DESOCUPACION,dato del mes,True
2022-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,9,7.5,7.793313838133159,6.8,9.228997867803836,6.281803915884609,-1.218196084115391,1.218196084115391,,0.0,DESOCUPACION,dato del mes,True
2022-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,8,7.7,7.791594699136496,6.8,8.96,6.281803915884609,-1.418196084115391,1.418196084115391,,0.0,DESOCUPACION,dato del mes,True
2022-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,7,7.6,7.773836347663542,6.83,9.023988420056956,6.281803915884609,-1.3181960841153906,1.3181960841153906,,0.0,DESOCUPACION,dato del mes,True
2022-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,6,7.4,7.586341120778373,6.9,8.05,6.281803915884609,-1.1181960841153913,1.1181960841153913,,0.0,DESOCUPACION,dato del mes,True
2022-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,5,7.5,7.743688233216803,6.905470888024054,8.74,6.281803915884609,-1.218196084115391,1.218196084115391,,0.0,DESOCUPACION,dato del mes,True
2022-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,4,7.5,7.599725794877438,6.9,8.2,6.281803915884609,-1.218196084115391,1.218196084115391,,0.0,DESOCUPACION,dato del mes,True
2022-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,2,7.2,7.198175437936911,6.8,7.593938325464778,6.281803915884609,-0.9181960841153911,0.9181960841153911,,0.0,DESOCUPACION,dato del mes,True
2022-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2022-12-31,1,7.2,7.198232651120668,6.71,7.595558400414495,6.281803915884609,-0.9181960841153911,0.9181960841153911,,0.0,DESOCUPACION,dato del mes,True
2021-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,24,8.5,8.839951109438394,8.0,9.53,5.7,-2.8,2.8,,0.0,DESOCUPACION,dato del mes,True
2022-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,23,8.5,8.691135360557796,8.0,9.8,5.7,-2.8,2.8,,0.0,DESOCUPACION,dato del mes,True
2022-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,22,8.5,8.671340212529465,7.930000000000001,9.574676932157368,5.7,-2.8,2.8,,0.0,DESOCUPACION,dato del mes,True
2022-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,21,8.0,7.942534455817221,6.72,9.177069703455368,5.7,-2.3,2.3,,0.0,DESOCUPACION,dato del mes,True
2022-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,20,7.9,7.909412810715649,6.56,9.187375308420584,5.7,-2.2,2.2,,0.0,DESOCUPACION,dato del mes,True
2022-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,19,7.716676020769417,7.869614096178507,6.59,9.27,5.7,-2.0166760207694168,2.0166760207694168,,0.0,DESOCUPACION,dato del mes,True
2022-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,18,7.666676020769417,7.845844616750992,6.79,9.05,5.7,-1.966676020769417,1.966676020769417,,0.0,DESOCUPACION,dato del mes,True
2022-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,17,7.99,8.040543476118572,7.000113080000001,9.16,5.7,-2.29,2.29,,0.0,DESOCUPACION,dato del mes,True
2022-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,16,7.945,8.007759725103227,6.91,9.345337225674289,5.7,-2.245,2.245,,0.0,DESOCUPACION,dato del mes,True
2022-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,14,7.624207438055606,7.751344103440397,6.909594915731364,8.633896314312029,5.7,-1.924207438055606,1.924207438055606,,0.0,DESOCUPACION,dato del mes,True
2022-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,13,7.6,7.687953929168025,6.706994889412245,8.541494751209846,5.7,-1.8999999999999995,1.8999999999999995,,0.0,DESOCUPACION,dato del mes,True
2022-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,12,7.5,7.79117292672789,6.92,8.60236204340719,5.7,-1.7999999999999998,1.7999999999999998,,0.0,DESOCUPACION,dato del mes,True
2023-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,11,7.8,7.888344828752148,6.809353161791499,8.584362954723316,5.7,-2.0999999999999996,2.0999999999999996,,0.0,DESOCUPACION,dato del mes,True
2023-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,10,7.85,7.97286456216589,6.84,8.943888573581349,5.7,-2.1499999999999995,2.1499999999999995,,0.0,DESOCUPACION,dato del mes,True
2023-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,9,7.5,7.633446696194822,7.0,8.187299358985092,5.7,-1.7999999999999998,1.7999999999999998,,0.0,DESOCUPACION,dato del mes,True
2023-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,8,7.5,7.685931630444925,7.0,8.4,5.7,-1.7999999999999998,1.7999999999999998,,0.0,DESOCUPACION,dato del mes,True
2023-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,7,7.5,7.630092961107543,6.759153473425537,8.2,5.7,-1.7999999999999998,1.7999999999999998,,0.0,DESOCUPACION,dato del mes,True
